Name,Season,Tm,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Kevin Durant,2007-08,SEA,SG,80.0,80.0,2768.0,10.6,24.6,0.43,7.0,8.1,0.873,1.3,5.0,6.3,3.5,1.4,1.3,4.2,2.2,29.2,100.0,110.0
Kevin Durant,2008-09,OKC,SF,74.0,74.0,2885.0,11.7,24.7,0.47600000000000003,8.0,9.3,0.863,1.4,7.2,8.6,3.6,1.7,0.9,4.0,2.4,33.3,111.0,109.0
Kevin Durant,2009-10 ★,OKC,SF,82.0,82.0,3239.0,12.6,26.6,0.47600000000000003,12.0,13.4,0.9,1.7,8.2,9.9,3.7,1.8,1.3,4.3,2.7,39.4,118.0,104.0
Kevin Durant,2010-11 ★,OKC,SF,78.0,78.0,3038.0,12.1,26.2,0.462,10.1,11.5,0.88,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,115.0,107.0
Kevin Durant,2011-12 ★,OKC,SF,66.0,66.0,2546.0,13.0,26.3,0.496,8.7,10.2,0.86,0.8,9.9,10.7,4.7,1.8,1.6,5.0,2.7,37.5,114.0,101.0
Kevin Durant,2012-13 ★,OKC,SF,81.0,81.0,3119.0,12.1,23.6,0.51,11.2,12.4,0.905,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,122.0,100.0
Kevin Durant,2013-14 ★,OKC,SF,81.0,81.0,3122.0,13.7,27.2,0.503,11.3,13.0,0.873,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,123.0,104.0
Kevin Durant,2014-15,OKC,,9.0,9.0,254.0,14.3,26.9,0.53,9.6,11.0,0.87,0.2,9.0,9.2,6.5,1.4,1.6,6.1,2.4,41.2,116.0,101.0
Kevin Durant,Career,,,551.0,551.0,20971.0,12.3,25.6,0.48,9.9,11.2,0.882,1.1,8.1,9.3,4.7,1.7,1.3,4.4,2.6,36.7,115.0,105.0
Pau Gasol,2001-02,MEM,C,82.0,79.0,3007.0,9.7,18.6,0.518,5.9,8.4,0.7090000000000001,4.2,8.6,12.8,3.9,0.7,3.0,3.9,3.4,25.2,108.0,105.0
Pau Gasol,2002-03,MEM,PF,82.0,82.0,2948.0,10.0,19.6,0.51,7.3,9.9,0.736,3.4,9.3,12.6,4.0,0.6,2.6,3.7,3.9,27.3,110.0,106.0
Pau Gasol,2003-04,MEM,PF,78.0,78.0,2458.0,10.8,22.4,0.48200000000000004,7.8,10.9,0.7140000000000001,4.4,8.4,12.8,4.2,0.9,2.8,4.0,4.0,29.5,108.0,102.0
Pau Gasol,2004-05,MEM,PF,56.0,53.0,1790.0,10.8,21.1,0.514,8.5,11.1,0.768,3.9,8.5,12.4,4.1,1.1,2.8,4.2,4.4,30.2,112.0,102.0
Pau Gasol,2005-06 ★,MEM,PF,80.0,80.0,3135.0,10.6,21.2,0.503,7.5,10.9,0.6890000000000001,3.4,9.3,12.7,6.6,0.8,2.7,4.2,3.3,28.9,111.0,100.0
Pau Gasol,2006-07,MEM,C,59.0,59.0,2133.0,11.1,20.6,0.5379999999999999,7.2,9.6,0.748,3.6,10.4,14.0,4.8,0.7,3.0,3.9,3.3,29.5,115.0,109.0
Pau Gasol,2007-08,TOT,C,66.0,66.0,2351.0,10.2,19.0,0.534,6.2,7.7,0.807,3.3,8.5,11.8,4.5,0.6,2.1,2.7,3.0,26.7,119.0,109.0
Pau Gasol,2007-08,MEM,C,39.0,39.0,1433.0,9.8,19.6,0.501,6.2,7.6,0.8190000000000001,3.3,8.7,12.0,4.1,0.6,2.0,2.8,3.0,25.9,114.0,111.0
Pau Gasol,2007-08,LAL,C,27.0,27.0,918.0,10.7,18.2,0.589,6.3,8.0,0.789,3.3,8.2,11.5,5.2,0.8,2.3,2.4,3.0,27.8,128.0,105.0
